show_id,type,title,director,cast,date_added,release_year,rating,duration,listed_in,description,plataforma,age_category,imdbRating
s696,TV Show,Miles From Tomorrowland,Desconocido,"Olivia Munn, Cullen McCarthy, Fiona Bishop, Dee Baker, Tom Kenny",2019-12-01,2014,TV-Y,2 Seasons,"Action-Adventure, Animation, Kids",Blastastic! Join Miles and his family in outer space!,disney,Para todas las edades / niños pequeños,No se encontró información para: Miles%20From%20Tomorrowland
s697,TV Show,Sheriff Callie's Wild West,Desconocido,"Mandy Moore, Lucas Grabeel",2019-12-01,2011,TV-Y,2 Seasons,"Animation, Kids, Western",Come and see how the West was fun with Sheriff Callie!,disney,Para todas las edades / niños pequeños,6.2
s698,TV Show,Supercar Megabuild,Desconocido,Dom Joly,2019-12-01,2016,TV-PG,2 Seasons,"Buddy, Docuseries, Lifestyle",A team of top car mechanics create awesome supercar megabuilds.,disney,Para niños mayores,4.2
s705,TV Show,Mickey Mouse Roadster Racers,Desconocido,"Bret Iwan, Russi Taylor, Bill Farmer, Daniel Ross, Tress MacNeille",2019-11-20,2017,TV-Y,2 Seasons,"Animation, Kids, Sports",The Sensational Six race roadsters around the world!,disney,Para todas las edades / niños pequeños,No se encontró información para: Mickey%20Mouse%20Roadster%20Racers
s729,TV Show,Andi Mack,Desconocido,"Peyton Lee, Joshua Rush, Sofia Wylie, Asher Angel, Lilan Bowden, Lauren Tom",2019-11-12,2016,TV-G,3 Seasons,"Comedy, Coming of Age, Drama","Andi's life is shaken by her sister, Bex's, surprise.",disney,Para todas las edades / niños pequeños,7.4
s749,TV Show,Best Friends Whenever,Desconocido,"Lauren Taylor, Shelby Bender, Gus Kamp, Ricky Garcia, Benjamin Royer, Matthew Royer",2019-11-12,2015,TV-G,2 Seasons,"Buddy, Comedy, Coming of Age",Best friends gain the ability to travel through time!,disney,Para todas las edades / niños pequeños,5.9
s750,TV Show,Big City Greens (Shorts),Desconocido,No Disponible,2019-11-12,2017,TV-Y7,1 Season,"Action-Adventure, Animation, Comedy",Head to the big city with the Green family!,disney,Para niños mayores,No se encontró información para: Big%20City%20Greens%20(Shorts)
s752,TV Show,Big Hero 6 The Series (Shorts),Desconocido,No Disponible,2019-11-12,2017,TV-Y7,2 Seasons,"Action-Adventure, Animation, Comedy",The team introduces Baymax to everyday activities.,disney,Para niños mayores,No se encontró información para: Big%20Hero%206%20The%20Series%20(Shorts)
s758,TV Show,Bonkers,Desconocido,"Charlie Adler, Corey Burton, Jesse Corti, Jim Cummings, Frank Welker, Gregg Berger",2019-11-12,1993,TV-G,1 Season,"Animation, Comedy, Kids",A washed-up cartoon star begins a new life as the first toon cop in Hollywood.,disney,Para todas las edades / niños pequeños,6.7
s760,TV Show,Boy Meets World,Desconocido,"Ben Savage, William Daniels, Betsy Randle, Will Friedle, Rider Strong, Lee Norris",2019-11-12,1993,TV-PG,7 Seasons,"Comedy, Coming of Age, Family","Adolescent Cory Matthews grows up, and faces problems with friends, family, and school.",disney,Para niños mayores,8.1
